<Apps_for_Android> games:2562.6501245740806 graphics:1289.8177796312643 play:1220.3661920885065 kindle:1173.858784049012 addictive:1035.6704232171337 addicting:929.5144539101439 fire:858.8626325561077 coins:830.1076098105212 challenging:826.8272563871086 levels:658.3417611893775 apps:578.9654191159176 puzzles:477.77274687772893 playing:473.2595297871505 ads:469.971017128168 free:407.5141793055782 download:294.7254831142168 faotd:288.8577201586641 downloaded:242.70521001886726 mahjong:237.3985770827314 bingo:214.35128166154627 android:202.266766056343 gameplay:198.5123356770461 freezes:189.67737127837006 facebook:186.9518559650919 unlock:185.7521008338788 deleted:179.2243589462116 puzzle:177.63418494685774 bought:172.5000538342128 upgrades:168.99856742047183 played:168.41152901888017 tablet:151.19105662192848 developer:148.37746519215403 price:147.09812960277847 quality:141.50944536129492 permissions:137.37091512558038 earn:134.7527163155313 author:134.12116619132183 uninstall:127.29106315507559 sudoku:126.99968483964763 fit:125.04083953320882 reading:124.85792383226251 hints:124.85044648519366 bored:123.92107847905844 years:123.64516847018176 made:123.05963956122689 characters:120.18055867861817 gameloft:115.53429315666729 written:113.78753410180047 series:113.57982618653126 solitaire:112.19115057879237 awesome:106.42390760025874 back:105.0675008579323 great:104.18550160502396 multiplayer:102.51457697684802 uninstalling:100.32193506574053 glitches:99.02553697390849 good:96.93418371786991 challenge:96.16020393653979 crashes:96.15099201479619 brain:95.3455313547141 waster:94.22529346826073 crashing:93.68803122186573 end:93.60167419090658 downloading:93.54235192211287 size:92.89940901377751 put:91.77221344926633 addicted:90.6612475066317 apos:86.64962060177764 flappy:86.64962060177764 freecell:86.64962060177764 devs:86.64962060177764 glu:86.64962060177764 teamlava:86.64962060177764 feel:84.72078145708686 purchased:83.06073908604917
<Health_and_Personal_Care> shaver:1245.6568201557006 shaving:1074.4593899430574 razor:1046.8483443237378 pills:1020.4009656274096 supplements:791.194841356254 vitamin:736.827916214059 protein:732.6590320389582 pill:652.3571222625764 vitamins:630.0016076081484 capsules:626.1988662289626 supplement:584.8740879847568 trimmer:510.1788798103997 deodorant:503.36746033042283 taking:468.9405015436459 stomach:410.6558137718071 norelco:407.04170551755504 sonicare:407.04170551755504 toothbrush:394.07455964893364 razors:374.8223387420996 bottle:345.8714362725214 gillette:333.19064519853356 smell:330.900601636264 garcinia:330.70879737332507 powder:309.8938480470068 brace:306.0793285894365 muscle:298.13631217408187 shaves:288.39176244456416 ketones:279.8234201788501 dentist:273.9165699666432 sinus:258.24508242062427 dosage:258.24508242062427 energy:257.3361888695992 cambogia:254.38169997839245 appetite:250.14690749041864 oil:242.88877795047384 products:238.52169542051146 tastes:237.9725383402465 sore:236.7558556409819 mg:230.12836141799662 shavers:229.44416405372968 creatine:228.94062534302492 braun:227.40451679336454 pain:224.288536238422 hairs:222.3277419051782 teeth:218.16374607461682 relief:213.7216348987914 beard:211.36485794568702 jittery:208.49288585476287 whey:208.49288585476287 calcium:205.9738508502327 diet:199.39960564779665 doctor:198.17780478343613 results:197.8795300028836 brush:194.26140468969854 stains:189.10434591343446 scent:188.67245767395264 oral:187.75450157261344 irritation:186.7935459016935 rash:186.72115040169564 stubble:179.1177464660783 odor:177.22697445872336 cravings:176.1239699754493 swelling:176.04007572031338 oils:175.95250838331376 weeks:165.51852604352757 blades:165.4902039313819 swallow:164.94740480083468 clean:164.58163230226828 lather:162.56793145221874 massage:160.93802221854716 smells:160.0754481356427 vibrator:159.61961038450846 batteries:158.8249490734013 condoms:154.05957513259673 toothbrushes:154.05957513259673
<Home_and_Kitche> vacuum:1185.0823853074612 oven:1183.9752857192834 dishwasher:1108.671481464873 lid:1107.8661224189168 clean:1052.6921011335041 pan:1016.8417930522921 pot:890.0050668792478 pans:804.2115566671954 maker:761.7728072213245 cup:720.5914904876233 mattress:647.1938048629015 toaster:616.9406886043337 sheets:615.7448224506827 water:599.9722750124466 cups:598.6205478131327 comforter:594.3874030856925 pillow:567.0564699670415 microwave:548.3481294429527 mug:545.3232213522981 counter:545.249566172196 cook:515.2017362888406 cooking:513.0330022677863 cooker:504.85338286771 machine:503.09595728636504 cookware:499.9742541319675 cuisinart:472.1742461419119 poster:470.2315288050048 bed:450.8550023175212 filter:416.0011929500728 stainless:408.90517606965017 brewing:406.16158066718316 pots:397.34788089297257 bowl:396.1736915120674 cooks:390.3516659615862 brew:387.0272366280378 bread:379.2870653446879 glass:377.596987993317 steam:373.0512766494612 stove:366.1513140377696 grinder:365.1516677218611 heats:359.8685841336818 heat:358.1551199783809 rack:356.8365473007456 lids:343.6376802126515 kettle:336.9580113053632 heating:331.0907811614191 grind:327.6888415596705 knives:321.42661982869873 cleaning:319.49098762213873 blender:315.50696970270855 carafe:315.1994202986563 juicer:315.1994202986563 dyson:315.10447732406413 baking:312.3805321130272 pitcher:309.28693410538085 espresso:309.001280839348 mugs:299.7716897799102 steamer:299.05575176270247 pillows:295.36243005115364 drip:283.62113219498207 coffeemaker:282.58092590631 thermometer:277.8465419983879 pour:276.7930400147912 suction:275.82670257326 temperature:275.703436253613 filters:273.26028531351466 bowls:272.6324617891035 handle:271.7872362878796 timer:271.6490799774424 curtain:268.14878690152506 dough:266.30020869328354 heater:265.98757980708126 bags:265.53761353795 bottom:264.7138501445116 nonstick:262.1671421202209
<Kindle_Store> author:1095.3138351034454 characters:1003.5709650881884 series:696.5116087336461 reading:649.9592533716071 romance:514.672366315039 enjoyed:479.2624354921186 short:458.4044032653428 stories:437.79540828167654 kindle:409.8254709510253 novella:370.0581697678212 written:337.54179529238417 wait:308.88711833387765 ebook:281.70119674656615 plot:250.7236145198617 forward:240.14166748712844 character:231.3278274324284 loved:218.84961653089746 writing:199.08625813234497 sex:196.41948720956455 steamy:177.49393464946405 errors:170.58841059296643 erotic:164.76802638916723 bought:162.02098954018305 ending:159.38075436089161 quality:155.23711696163446 relationship:151.4503678174798 price:140.1944212701684 interesting:128.47884796809868 sexy:127.87867377255459 developed:124.13567595749701 reader:121.02368384519541 wanting:116.52455383606313 fit:116.50832608654352 alpha:115.75398671705032 heroine:114.10272610447811 believable:113.3665542870636 finds:111.36082110774161 mystery:111.00003192897114 sweet:110.17140012646475 erotica:108.23125178122338 woman:105.86504867198852 honest:105.49991760388325 works:102.27249644624769 fiction:100.5640048597695 buy:98.16816977715364 end:98.13143305954158 tale:96.76371588805972 authors:96.04406818252768 felt:95.11620769595733 size:94.10213602465451 music:91.3338701859121 twist:89.19711382476194 chemistry:84.9625129774187 paranormal:84.53578771067747 storyline:83.6303411719575 hea:82.32335289110536 shifter:81.98469789059976 feelings:80.75035604736793 scenes:78.80967913266295 cliffhanger:78.63536648782981 ms:77.69455914629003 reads:77.08509835541575 editing:76.95318258402861 suspense:76.85380620036189 adventure:75.5015204705845 ordered:74.69862163114263 intriguing:74.26405766621288 nage:73.91918656423677 devlin:73.91918656423677 paced:73.60965621419852 twists:72.39328139041653 entertaining:71.97790975528693 intrigue:71.66440411295622 berserker:70.78958951949025 love:69.93964152519524
<Movies_and_TV> dvd:8735.788728300047 acting:4986.591171702958 movies:4946.295473434269 watch:4209.047251310096 films:3657.866476835018 actors:3603.007236279444 watching:3448.959371771479 watched:2980.678034192852 episodes:2357.608147115289 season:1903.2121667362114 cast:1826.5268296410663 director:1680.732685052332 episode:1618.346461976268 actor:1612.9315013133694 show:1606.1673624840728 comedy:1508.969057250449 scenes:1376.3703872357564 seasons:1263.0357480540963 flick:1192.9471529836528 script:1155.7429239276357 vhs:1086.5872204606687 scene:1064.8317521022364 video:1055.267448073928 funny:897.0456551072256 performances:893.1187226407092 documentary:862.0647465359782 extras:855.0476867379424 dvds:851.5854595212058 subtitles:837.949941841896 role:816.351336931427 blu:787.8222497674706 viewer:786.4747898966939 viewers:767.7431608935601 effects:728.0678721971956 cinematography:674.6233582948605 classic:653.5741995957886 animation:645.028801806756 footage:640.0933086442836 actress:622.5631014265314 filmed:616.9325626894627 special:612.0464110556603 ray:609.5825751104194 horror:595.7408888475561 cinema:551.9261067934248 action:546.4800920965672 tv:540.8840354108022 hollywood:534.4528546783764 production:524.7396969326074 roles:511.74137121534613 aired:477.3285375998488 remake:467.8135393419196 nudity:461.7905111089957 viewing:427.1254329641723 animated:420.0847507936355 shows:411.8770420307483 cgi:405.9283106339324 anime:405.91609465652255 television:399.2055631723159 plot:393.0958357653712 theatrical:385.7362435340459 performance:378.765907565637 acted:377.2104251346348 rent:375.51459870184516 screenplay:367.6626116980091 released:367.02998146284875 hilarious:366.57789190578137 laughs:361.78296352723225 rented:361.6716599821412 disc:360.9827494063053 directed:359.1717741932039 played:355.2158466246719 casting:353.4701481575369 entertainment:350.9262649763598 series:344.9293017613952 plays:344.27504174172753
<Musical_Instrument> pedal:963.4650563239587 addario:783.3396860093372 behringer:783.3396860093372 mic:741.375761429712 tuning:683.2150472703655 truss:651.1256237427864 tuners:633.9633057268187 drum:589.5185017672218 metronome:556.6887957616324 rosin:556.6887957616324 fender:548.2779913792294 sound:509.3359924892295 epiphone:499.7385743013953 reeds:485.862739268395 pickups:485.862739268395 pickguard:469.9918865095273 numark:469.9918865095273 xlr:469.9918865095273 instrument:469.02093192269353 yamaha:446.9420897114146 pedals:445.73181224932756 frets:415.12385234145637 dunlop:415.12385234145637 string:404.7021192105399 capo:386.7100151507226 intonation:386.7100151507226 violin:377.3198207688661 preamp:350.99990653240064 gigs:324.0969750378239 gig:321.2736652980925 guitars:320.86974934345756 snare:320.61237152901674 swampy:313.32394945894174 lavalier:313.32394945894174 amplitube:313.32394945894174 maschine:313.32394945894174 wuhan:313.32394945894174 rocksmith:313.32394945894174 footswitch:313.32394945894174 emg:313.32394945894174 ibanez:313.32394945894174 mxr:313.32394945894174 irig:313.32394945894174 akai:313.32394945894174 tuner:311.8220405886891 amp:294.65780737778374 microphone:286.9370014457141 trs:279.60724171486777 midi:279.60724171486777 wav:279.60724171486777 mics:274.1076933429869 clarinet:273.4033456058398 technica:245.90697498315532 cymbal:245.90697498315532 banjo:223.42284143792133 bass:221.08659343315944 distortion:220.87914631203375 mixer:209.9609859414904 turntables:207.5540266733731 deoxit:207.5540266733731 condenser:207.5540266733731 rehearsing:207.5540266733731 protools:207.5540266733731 epi:207.5540266733731 dulcimer:207.5540266733731 fretboard:207.5540266733731 cabs:207.5540266733731 ocarina:207.5540266733731 piano:202.61295137280285 acoustic:201.70076073994755 cymbals:173.39981953996448 seismic:172.52770697156856 ukulele:172.52770697156856 hercules:172.52770697156856 microphones:162.59170905644942
<Office_Product> cartridges:5038.569370197361 cartridge:3535.4142072016666 printing:2818.170775191551 printers:2162.8337434348077 epson:1903.7877930810766 scanner:1721.2013237706358 print:1651.935357596947 pen:1139.4237506521965 toner:1069.9176992860057 paper:1016.1362012960991 pens:926.1416272849003 prints:922.4959922296321 hp:883.2896544753319 fax:856.7366812870923 scan:787.1438464964777 scanning:747.0519627564578 stapler:673.6122313116412 inks:673.6122313116412 shredder:614.5417214625822 handset:600.399198579727 lexmark:561.829229179472 copier:503.8540954710817 desk:494.880603511177 pencil:471.1660923958054 remanufactured:456.42276712449836 pencils:453.4302896196644 staples:453.3804466260599 labels:452.2406256514737 laser:444.0455257394247 office:421.2011639275007 calculator:399.4209289987209 inkjet:383.45878347584807 receipts:382.7283718470046 pixma:374.53856398873415 scans:367.88919676645514 stapling:336.767657713155 answering:334.9594211097334 swingline:312.11151034037846 mfc:312.11151034037846 dymo:312.11151034037846 handsets:301.7025712057345 landline:301.7025712057345 envelopes:286.92276008815696 canon:275.30328814993794 binders:273.01583624964974 eraser:258.9532056340054 deskjet:249.6860406324896 staplers:249.6860406324896 borderless:249.6860406324896 printed:242.2893977278895 avery:238.10404957947404 refill:234.15902305720124 papers:229.65336520443654 sharpeners:220.09420885289808 nib:219.95957066188586 folders:207.59231798054225 wireless:201.45519660542658 scanned:201.13860987576587 uniden:198.88783160532523 fellowes:198.1544695154825 pentel:187.26215480478515 cis:187.26215480478515 printhead:187.26215480478515 intercom:181.33069460517368 artisan:181.33069460517368 dpi:181.33069460517368 speakerphone:181.33069460517368 binder:175.50739299583654 erase:169.8103687886152 sheets:168.90621223584574 mousepad:166.47709774136607 erasers:163.8053957759705 refills:162.207747331757 software:158.5917819819501 phones:157.14059072797352
<Patio_Lawn_and_Garde> plants:1375.2459845466976 lawn:1202.315270475095 seeds:1025.23041826743 yard:970.6544432294293 garden:863.0908397719647 seed:816.1940705756133 feeder:736.8095281301056 plant:707.467245647197 gas:678.5602454785391 grass:622.2926746357932 smoker:601.8425385283906 pool:598.85129604927 watering:555.7509358946593 traps:542.7114624464259 mow:524.146963497017 soil:518.128170358582 blower:517.098196188268 germinated:469.8647371842539 hummingbirds:412.3722233646236 hose:412.1517382490665 weber:411.1216211724551 sprinkler:401.0336993812959 bbq:398.41568004823824 sprinklers:391.548980207746 patio:390.64561842125283 weeds:389.2512848626314 planted:365.89515043792846 burners:362.5741200371192 acre:351.20300180963704 trap:329.8751152001175 feeders:326.7378276689613 bait:313.3229213173751 bilt:313.2352103103875 pruner:313.2352103103875 landscaper:313.2352103103875 grills:307.3898085175479 sprouted:305.3323719264553 hammock:291.91253265969397 weed:289.08581671383405 squirrels:277.65708657440314 fertilizer:276.8348409896445 roaches:276.8348409896445 bugs:273.07436214257604 mice:253.6493675691386 mulch:248.993800123937 germination:248.993800123937 grilling:242.39529063326958 suet:234.9234274165532 poulan:234.9234274165532 hydroponics:234.9234274165532 geraniums:234.9234274165532 soils:234.9234274165532 husqvarna:234.9234274165532 intex:234.9234274165532 sprout:232.04528837899844 bushes:228.98765712320684 driveway:214.5512561228349 coals:213.11600437448274 leaf:212.48674126282435 squirrel:210.46544735109296 trimmer:208.59100204663517 sprayer:207.64242922860296 birds:207.35872797882195 bird:202.30599624859016 sunflower:190.818205545615 hummingbird:190.818205545615 ants:182.9011471269395 planting:180.83496103644538 mowed:175.58590614058602 mowers:175.58590614058602 tiller:175.58590614058602 potted:175.58590614058602 edger:174.69792249474318 flowering:174.69792249474318 mowing:157.37783101418356
<Pet_Supplie> cat:4226.378766640746 cats:4006.2964020573413 pet:1773.5639003264084 puppy:1643.5350097963667 vet:1565.7257995591053 litter:1539.7954740427174 collar:1419.6198553443553 leash:1412.089193384854 treats:1260.5105239715688 chew:1049.5690764525514 lab:913.6633026234682 food:781.3002172371758 fleas:766.3166041031432 chewed:670.789962887313 terrier:618.6264094233687 tank:510.05019450103003 chewer:502.6842135362619 barking:480.4899523451568 retriever:478.775743355119 kitten:473.266461921788 paw:472.19612501101267 aquarium:450.55397734860486 poodle:443.16225106077525 bulldog:443.16225106077525 chihuahua:443.16225106077525 petsmart:439.84310656604737 spaniel:439.84310656604737 collars:430.7166417008175 toys:423.01677941782077 pup:412.46754067339583 lb:412.3168927170949 crate:400.52037876230867 doggy:386.01872082250816 catnip:383.11941309537445 kibble:377.00359408239063 petco:377.00359408239063 chewing:345.6643175401907 fountain:345.6643175401907 puppies:344.41979434020163 cage:331.314926540824 kennel:329.8268961273502 leashes:321.43787346284546 chews:319.2504982018622 litterbox:314.1656760246062 corgi:314.1656760246062 coat:313.48567095618375 bowl:311.55487596566235 harness:309.0600368288288 kitty:303.5203073316659 pom:303.2395077660558 husky:291.0145103430089 flea:287.46121304942534 shepherd:287.37987485785914 gallon:285.1513643172138 feeder:284.24156303748094 loves:280.76631434226533 urine:274.85884126153996 yorkie:274.84589805736766 kitties:274.84589805736766 frisbee:260.1439108113516 pomeranian:260.1439108113516 pound:259.0043870747434 kittens:258.5229824220322 bichon:251.32935233201206 shiba:251.32935233201206 petsafe:251.32935233201206 rottweiler:251.32935233201206 orijen:251.32935233201206 scooping:243.42967306783825 treat:241.91452556562777 poop:239.53581170881415 kong:236.41079463003638 fur:232.17636745438097 doggie:230.43810418576186 pups:228.18772770950713
<Sports_and_Outdoor> gun:647.999746392523 pistol:614.1599005470778 rifle:549.9575557790254 bikes:529.8657923947012 holster:510.4447728395021 camping:451.13246468033714 airsoft:378.71251343243597 tires:347.8971800444715 fit:346.66925416253616 ar:342.8251632688018 tent:328.19730125923064 glock:324.8129468742555 bicycle:307.26086814800766 sheath:295.11121838483746 workout:279.4436923308759 weight:279.242551921325 bag:278.43054533429506 mag:274.2322858868802 grip:266.63823751070424 golf:252.450765395737 mags:247.6953169533315 rides:247.4577720974445 blade:243.11460788072506 scope:238.06253888741503 comfortable:237.1033860656705 knives:230.51374592576278 barrel:217.8054705408273 scooter:215.86480309307547 helmet:211.50938962117516 ammo:208.25549196520117 shimano:208.05067293822796 handlebars:206.55426134725872 pants:198.24446759799173 fits:197.34296477297377 poles:195.00664041199147 edc:188.83556503499508 sturdy:187.11988542909543 backpacking:186.3522854750282 adjustment:185.1409405343218 schwinn:184.931585248614 gloves:184.17900743503 ball:183.364135643432 balls:183.29411751464588 characters:181.69784834856756 reading:180.69513436462813 riding:179.88717433301483 carry:175.92908124836796 ride:169.49540968917955 durable:169.30753119543937 pump:168.4119799833123 size:166.29404049909718 mat:162.45337646531814 gear:162.37481980187715 camelbak:161.8130841740996 rail:161.79418626142413 goggles:161.6146122562917 sweat:160.69235871772892 pedometer:156.8787645137204 weights:156.63651602502074 rack:154.81919143182836 bearings:154.63354109772308 saddle:147.13707327103518 ruger:144.76592390450804 molle:144.76592390450804 rear:144.74729294285234 grips:143.00447234870632 water:141.3870739120608 zeroed:139.84347584115858 sks:138.69516969235823 series:138.1841002021102 firearm:137.08830669450788 tight:136.2185455535137 straps:136.1288398266146 written:134.19387670945588 lbs:133.65985758313806
<Tools_and_Home_Improvement> flashlight:1437.263246357585 bulb:1267.9313191886938 tool:1194.6368554421763 dewalt:1000.3764729990004 flashlights:971.6921498887427 light:971.0288680584974 faucet:899.8687525507257 drill:860.7394311581522 tools:835.3364416963037 lights:777.6196151577493 bright:771.6089167294306 fixture:656.0620226526204 batteries:551.8168525989445 thermostat:541.5076430168848 nailer:519.9711559443813 dimmer:471.0880120115084 lumen:440.51742083362336 miter:399.3393401422877 cfl:399.3393401422877 dremel:367.78424882232 beam:357.9955388088144 lamps:357.1840653958403 blades:343.1583277975834 led:332.41745797841213 makita:329.46573650551267 sander:321.6671419153311 leatherman:319.4633658611281 blade:312.4282881951693 brighter:308.0670297077127 switch:300.5544735781756 pliers:293.9071594713697 installed:291.1231245884283 dimmable:282.1958413263658 incandescent:276.54755967377207 wall:270.3842830095857 strobe:269.4574172776099 halogen:265.07899572476447 sink:261.04598563223027 bosch:258.5222853997983 lumens:252.38679078322482 shower:249.96744202889286 monoxide:242.84209275460364 fixtures:242.16092760295027 volt:241.88547957994186 ridgid:239.59144501484317 sockets:236.7065359916624 ceiling:235.99487266048865 fluorescent:228.00208513320408 screws:216.24091376741242 dusk:214.31499260116937 maglite:207.68563831064412 garage:207.36623204352236 depot:201.95111473978977 watt:199.7495052128625 streamlight:199.65700453335896 nailers:199.65700453335896 showerhead:199.65700453335896 wrench:195.84326534860458 heater:193.31880984213848 chandelier:191.4982867459689 installation:190.0142018106339 screw:187.40479992242538 bathroom:186.98260250923622 contractor:181.18953371177332 cordless:180.58350389104788 lithium:177.59663603245468 bits:176.762053897511 milwaukee:175.77044269338796 remodel:172.8345950979679 door:166.26864717126148 screwdriver:165.0218202449358 lathe:164.7203288009527 replace:161.79622544338676 kidde:159.72357729489363 skil:159.72357729489363
<Toys_and_Game> toys:1418.2207158817816 loves:1257.83299984574 lego:1219.5840386320606 son:1185.9054904884367 grandson:953.6748919830555 dolls:937.5559944440915 play:909.9479804318792 birthday:826.025153711533 kids:813.7951999405668 christmas:726.3602652363263 year:673.8499143717447 daughter:666.4836661145629 legos:578.329484379666 puzzle:572.1086695613905 pieces:521.1337506232207 playing:468.48449175050064 rc:425.1210975081267 cards:415.7884700099335 granddaughter:372.4177477089356 cute:358.2713639636906 barbie:317.6748323001614 hasbro:305.93106699314217 gift:291.4953184656946 nephew:264.5791346322608 child:258.57785608954066 nerf:250.25949437711128 durable:235.12862276217373 articulation:227.6363780107492 figures:224.59241469461054 helicopters:220.05276433380646 cuddly:217.52044265012037 dice:217.47328442294486 leapfrog:214.36510530666482 played:214.35336400534146 mattel:203.9462821799007 niece:195.02237995011217 educational:194.95535300362613 paint:194.16381043709063 stuffed:192.63990614468864 games:186.00538215642845 plush:183.5876460781194 cube:182.85542325242287 puzzles:176.61083113296868 playset:173.10308233162377 copter:169.95307901428404 lipo:169.95307901428404 heli:169.95307901428404 grand:164.71610800856268 doug:164.46272993755258 grandsons:164.46272993755258 melissa:158.14689502965663 plays:156.82248568567638 yr:153.7582706204773 bought:153.49043923609761 board:145.2786612259001 transformers:144.11337430842954 plastic:144.06103603366302 dollhouse:139.96747309016087 posable:135.9607383466862 kid:134.6074148418374 granddaughters:130.52454556513163 decks:130.23184352547042 train:129.47155146244833 figure:125.96314189496165 cars:124.24009127444675 adorable:120.37522149259681 collectible:119.65195615659827 darts:119.65195615659827 wheels:118.59471605994135 sculpt:118.55755400038623 reading:113.04146011125157 wooden:111.8276214355665 huggable:107.17575380065725 doh:107.17575380065725 toddler:105.43894317547124
